"id";"chinese";"english";"classification1";"classification2";"classification3";"source";"remark";"contributor";"image";"xremark";"sentenceCN";"sentenceCNResource";"sentenceEN";"sentenceENResource";"abbreviationCN";"abbreviationEN";"synonymCN";"synonymEN";"definationCN";"definationCNResource";"definationEN";"definationENResource";"status";"totalClick"
197;"机舱罩";"nacelle cover";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
198;"机舱柜";"nacelle cabinet";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
199;"机舱控制柜";"nacelle cabinet";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
200;"测风系统";"wind measurement system";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
201;"航空障碍灯";"aviation obstruction light";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
202;"航空灯";"aviation obstruction light";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
203;"风向标";"wind vane";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
204;"风速仪";"anemometer";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
205;"超声波风速仪";"ultrasonic anemometer ";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
206;"变频器";"frequency converter";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
207;"变频柜";"frequency converter cabinet";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
208;"直升机平台";"helicopter-hoisting platform";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
209;"直升机平台";"heli-hoist platform";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
210;"机舱提升机";"nacelle hoist";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
211;"激光雷达";"lidar";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
212;"机舱式激光雷达";"nacelle-mounted lidar";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
213;"安全门";"safety door ";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
214;"测风传感器";"wind sensor";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
215;"超声波风传感器";"ultrasonic wind sensor";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
216;"桁架";"truss";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
217;"天窗";"roof hatch";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
218;"盐雾过滤器";"salt mist filter";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
219;"风速传感器";"wind speed sensor";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
220;"抗冰冻型风速仪";"ice-free anemometer";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
221;"超声波风速风向仪";"ultrasonic wind sensor";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
222;"中光强航空障碍灯";"medium intensity aviation obstruction light";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
223;"发电机";"generator";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
224;"发电机定子";"generator stator";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
225;"发电机转子";"generator rotor";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
226;"发电机散热系统";"generator cooling system";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
227;"线圈";"coil";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
228;"铁芯";"core";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
229;"联轴器";"coupling";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
230;"双馈异步发电机";"doubly-fed asynchronous generator";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
231;"永磁同步发电机";"permanent magnet synchronous generator";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
232;"永磁同步发电机";"PMSG";"风电";"风机";"发电机";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
233;"永磁";"permanent magnet";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
234;"传动轴";"drive shaft";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
235;"传动系统";"drive train";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
236;"传动链";"drive train";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
237;"齿轮箱";"gearbox";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
238;"主轴承";"main shaft bearing";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
239;"主轴承";"main bearing";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
240;"滑环";"slip ring";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
241;"绕组";"winding";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
242;"磁钢";"magnetic steel";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
243;"动轴";"rotor shaft";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
244;"定轴";"stator shaft";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
245;"发电机转接箱";"generator-side transfer box";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
246;"机侧转接箱";"generator-side transfer box";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
247;"主轴";"main shaft";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
248;"转子锁定销";"rotor locking pin";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
249;"转子支架";"rotor support";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
250;"定子支架";"stator support";"风电";"风机";"发电机";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
251;"塔架";"tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
252;"塔筒";"tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
253;"管状钢塔";"tubular steel tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
254;"混凝土塔架";"concrete tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
255;"分片式塔架";"steel shell tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
256;"桁架式塔架";"lattice tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
257;"格构式钢塔";"lattice tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
258;"格构塔";"lattice tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
259;"钢混式塔架";"concrete-steel hybrid tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
260;"柔塔";"soft-soft tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
261;"钢制塔";"steel tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
262;"刚塔";"stiff tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
263;"刚度";"rigidity";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
264;"筒壁";"tower wall";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
265;"附件";"accessories";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
266;"平台";"platform";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
267;"法兰螺栓";"flange bolt";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
268;"结构设计";"structural design";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
269;"焊接";"welding";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
270;"钢板";"steel plate";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
271;"门洞";"doorway";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
272;"设备布置";"equipment layout";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
273;"机头布置";"nose layout";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
274;"机头重量";"nose weight";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
275;"钢段";"steel section";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
276;"转接段";"switching section";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
277;"混凝土段";"concrete section";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
278;"塔节";"tower section";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
279;"塔节";"tower segment";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
280;"塔筒门";"tower door";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
281;"门框";"door frame";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
282;"入口扶梯";"entrance stair";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
283;"塔筒平台";"tower platform";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
284;"爬梯";"ladder";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
285;"法兰";"flange";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
286;"塔架法兰";"tower flange";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
287;"电缆塔";"electricity pylon";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
288;"阻尼";"damp";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
289;"桁架";"truss";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
290;"电梯";"elevator ";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
291;"升降机";"service lift";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
292;"拉索塔";"guyed tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
293;"拉索";"stay";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
294;"拉索桩";"stay pile";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
295;"拉绳";"stay cord";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
296;"缆线";"cabled yarn";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
297;"锚索";"anchor cable";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
298;"斜缆";"stay cable";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
299;"格架";"grillage";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
300;"格构";"treillage";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
301;"栅格";"grid";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
302;"纯钢塔筒";"pure steel tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
303;"大直径分片塔";"segment tower with large diameter";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
304;"拉绳式钢塔";"stay cord steel tower";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
305;"锚固点";"anchor point";"风电";"风机";"塔架与基础";"";"塔架";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
306;"基础";"foundation";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
307;"表面处理";"surface treatment";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
308;"导管架基础";"jacket foundation";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
309;"浮动式基础";"floating foundation";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
310;"三脚架基础";"tripod foundation";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
311;"重力式基础";"gravity base foundation";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
312;"吸力式桶形基础";"suction bucket foundation";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
313;"桩式基础";"pile foundation";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
314;"基础设计";"foundation design";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
315;"基础环";"foundation ring";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
316;"锚板式基础连接";"anchor plate foundation connection";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
317;"基础环式基础连接";"foundation ring foundation connection";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
318;"上锚板";"upper anchor plat";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
319;"防洪";"flood control";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
320;"打桩";"pile driving";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
321;"地基";"base";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
322;"预制混凝土";"pre-cast concrete";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
323;"预制混凝土";"prefabricated concrete";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
324;"现浇";"cast-in-place";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
325;"现浇";"cast-in-situ";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
326;"现浇混凝土";"on-site concrete";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
327;"锚栓";"anchor bolt";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
328;"锚钉";"anchor nail";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
329;"地脚";"anchor bolt";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
330;"锚杆";"anchor rod";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
331;"锚笼";"anchor cage";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
332;"混凝土";"concrete";"风电";"风机";"塔架与基础";"";"基础";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
333;"变桨";"pitch";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
334;"变桨系统";"pitch system";"风电";"风机";"变桨系统";"Goldwind";"test remark";"Jack";"pitch system.png";"";"变桨系统作为大型风电机组控制系统的核心部分之一$$稳定的变桨控制已成为当前大型风力发电机组控制技术研究的热点和难点之一$$外侧电动机及变桨系统的其他部分都在轮毂内，并随之传动。";"金风翻译库$$金风翻译库$$金风翻译库";"The pitch system is one of the core parts of the large wind turbine control syste$$Stable pitch control has become one of the hotspots and difficulties in the research of large wind turbine control technology.$$The outer motor and other parts of the pitch system are in the hub and are subsequently driven.";"Goldwind Translation Library$$Goldwind Translation Library$$Goldwind Translation Library";"";"PS";"变桨器";"";"变桨系统作为大型风电机组控制系统的核心部分之一，对机组安全、稳定、高效的运行具有十分重要的作用。稳定的变桨控制已成为当前大型风力发电机组控制技术研究的热点和难点之一";"“科普中国”科学百科词条编写与应用工作项目 ";"As one of the core parts of the large wind turbine control system, the pitch system plays an important role in the safe, stable and efficient operation of the unit. Stable pitch control has become one of the hotspots and difficulties in the research of large wind turbine control technology.";"""Popular China"""" Science Encyclopedia entry writing and application work project""";"reviewed";0
335;"变桨轴承";"pitch bearing";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
336;"变桨控制柜";"pitch box";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
337;"变桨柜";"pitch box";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
338;"变桨电机";"pitch motor";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
339;"变桨减速器";"pitch gearbox";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
340;"桨距角";"pitch angle";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
341;"桨距调节";"pitch regulation";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
342;"安装角";"installation angle";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
343;"节距角";"pitch angle";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
344;"变桨驱动";"pitch drive";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
345;"螺纹距";"pitch of thread";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
346;"齿形带";"toothed belt";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
347;"超级电容";"ultra-capacitor";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
348;"超级电容";"supercapacitor";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
349;"双电层电容器";"electrical double-layer capacitor";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
350;"黄金电容";"double layer capacitor";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
351;"法拉电容";"supercapacitor";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
352;"电解质";"electrolyte";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
353;"充放电";"charge/discharge";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
354;"主电路拓扑图";"topology for the main circuit";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
355;"伺服控制算法";"servo control algorithms";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
356;"开关频率";"switching frequency";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
357;"双核控制器";"dual-core controller";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
358;"开环";"open-loop";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
359;"闭环";"closed-loop";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
360;"旋转编码器";"rotary encoder";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
361;"码盘";"encoder";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
362;"急停";"emergency stop";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
363;"气动刹车";"aerodynamic brake";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
364;"调节功率";"power regulation";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
365;"联调";"joint modulation";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
366;"伺服疲劳";"servo fatigue";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
367;"微处理器";"microprocessor";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
368;"控制策略";"control strategy";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
369;"顺桨";"feathering";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
370;"顺桨位置";"feathered position";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
371;"总线控制器";"bus controller";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
372;"载荷";"load";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
373;"极化";"polarization";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
374;"齿形带变桨";"toothed belt pitching";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
375;"齿轮变桨";"pitch gear";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
376;"跳齿";"jumping tooth";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
377;"预紧力";"pre-tightening force";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
378;"导轨";"guide rail";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
379;"基材";"base material";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
380;"包布";"wrapping cloth";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
381;"电磁效应";"electromagnetic effect";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
382;"高压回路";"high voltage circuit";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
383;"动态响应";"dynamic response";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
384;"蚁群算法";"ant colony algorithm";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
385;"中压系统";"medium-voltage system";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
386;"容量监测系统";"volume monitoring system";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
